,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
10 sag,0.844,0.893,0.895,0.757,0.568,0.535,0.47,0.444,0.415,0.344,0.208
10 tan,0.844,0.918,0.732,0.533,0.432,0.382,0.362,0.368,0.368,0.501,0.562
30 sag,0.47,0.548,0.506,0.439,0.323,0.229,0.162,0.163,0.227,0.238,0.064
30 tan,0.47,0.523,0.466,0.337,0.278,0.245,0.216,0.19,0.183,0.227,0.276
50 sag,0.27,0.353,0.29,0.261,0.155,0.064,0.027,0.019,0.082,0.2,0.027
50 tan,0.27,0.312,0.291,0.244,0.21,0.168,0.131,0.096,0.088,0.11,0.154
