,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
10 sag,0.96,0.959,0.962,0.966,0.967,0.963,0.95,0.928,0.903,0.888,0.901
10 tan,0.96,0.956,0.96,0.96,0.947,0.916,0.875,0.842,0.832,0.854,0.824
30 sag,0.757,0.751,0.769,0.794,0.797,0.77,0.698,0.609,0.548,0.551,0.548
30 tan,0.756,0.75,0.765,0.756,0.695,0.613,0.572,0.554,0.527,0.514,0.455
50 sag,0.548,0.546,0.573,0.598,0.589,0.537,0.424,0.314,0.286,0.297,0.214
50 tan,0.548,0.552,0.566,0.535,0.438,0.36,0.344,0.36,0.365,0.384,0.324
