,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
10 sag,0.933,0.928,0.926,0.927,0.926,0.914,0.873,0.778,0.58,0.343,0.144
10 tan,0.933,0.912,0.878,0.834,0.768,0.661,0.519,0.335,0.194,0.182,0.255
20 sag,0.792,0.784,0.783,0.789,0.792,0.771,0.702,0.564,0.345,0.154,0.047
20 tan,0.792,0.753,0.673,0.542,0.357,0.143,0.127,0.329,0.311,0.208,0.105
40 sag,0.541,0.55,0.569,0.589,0.606,0.615,0.579,0.461,0.218,0.052,0.002
40 tan,0.541,0.531,0.37,0.115,0.04,0.104,0.258,0.274,0.187,0.14,0.078
