,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
10 sag,0.949,0.948,0.946,0.944,0.941,0.937,0.932,0.924,0.91,0.905,0.899
10 tan,0.949,0.946,0.941,0.932,0.918,0.901,0.875,0.834,0.765,0.738,0.721
30 sag,0.742,0.738,0.726,0.712,0.694,0.674,0.65,0.621,0.587,0.587,0.59
30 tan,0.741,0.736,0.728,0.708,0.678,0.639,0.59,0.541,0.483,0.448,0.423
50 sag,0.526,0.522,0.503,0.481,0.456,0.435,0.419,0.412,0.415,0.426,0.434
50 tan,0.526,0.513,0.485,0.458,0.433,0.412,0.405,0.394,0.38,0.366,0.33
